,title,text,label
5966,FBI closes in on hillary,FBI Closes in on hillary! posted on home,TRUE
8096,"Breaking: tech CEO under investigation, sources say","Breaking: tech CEO under investigation, sources say! reported by an anonymous source",FALSE
2926,senior official scandal shakes community,senior official scandal shakes community! shared on social media,TRUE
4856,"Breaking: local mayor under investigation, sources say","Breaking: local mayor under investigation, sources say! reported by an anonymous source",FALSE
4469,Crowd reacts as university dean makes surprise appearance,Crowd reacts as university dean makes surprise appearance! highlighted in a new audit,FALSE
1263,university dean linked to controversial documents,university dean linked to controversial documents! flagged by investigators,TRUE
4678,New evidence surfaces in local mayor case,New evidence surfaces in local mayor case! revealed in internal documents,TRUE
4921,senior official denies allegations in public statement,senior official denies allegations in public statement! shared on social media,FALSE
1456,state representative scandal shakes community,state representative scandal shakes community! revealed in internal documents,TRUE
8875,Whistleblower claims expose local mayor,Whistleblower claims expose local mayor! shared on social media,TRUE
4544,tech CEO faces fresh questions after report,tech CEO faces fresh questions after report! questioned during an interview,TRUE
1188,famous actor denies allegations in public statement,famous actor denies allegations in public statement! posted on home,FALSE
2397,nonprofit leader scandal shakes community,nonprofit leader scandal shakes community! shared on social media,TRUE
2023,Whistleblower claims expose nonprofit leader,Whistleblower claims expose nonprofit leader! published in a leaked memo,TRUE
1722,city council member denies allegations in public statement,city council member denies allegations in public statement! shared on social media,FALSE
8202,university dean denies allegations in public statement,university dean denies allegations in public statement! flagged by investigators,TRUE
2367,nonprofit leader faces fresh questions after report,nonprofit leader faces fresh questions after report! revealed in internal documents,FALSE
6620,"Breaking: campaign advisor under investigation, sources say","Breaking: campaign advisor under investigation, sources say! discussed in closed-door meeting",TRUE
7031,tech CEO denies allegations in public statement,tech CEO denies allegations in public statement! revealed in internal documents,FALSE
7592,finance executive linked to controversial documents,finance executive linked to controversial documents! published in a leaked memo,TRUE
5100,senior official denies allegations in public statement,senior official denies allegations in public statement! highlighted in a new audit,TRUE
6407,famous actor linked to controversial documents,famous actor linked to controversial documents! discussed in closed-door meeting,TRUE
6090,New evidence surfaces in campaign advisor case,New evidence surfaces in campaign advisor case! flagged by investigators,FALSE
6403,local mayor scandal shakes community,local mayor scandal shakes community! published in a leaked memo,TRUE
9125,famous actor scandal shakes community,famous actor scandal shakes community! discussed in closed-door meeting,TRUE
5098,Exclusive: insiders reveal details about university dean,Exclusive: insiders reveal details about university dean! posted on home,FALSE
3804,Exclusive: insiders reveal details about university dean,Exclusive: insiders reveal details about university dean! shared on social media,TRUE
9664,New evidence surfaces in state representative case,New evidence surfaces in state representative case! posted on home,TRUE
9714,New evidence surfaces in university dean case,New evidence surfaces in university dean case! shared on social media,TRUE
4905,Crowd reacts as university dean makes surprise appearance,Crowd reacts as university dean makes surprise appearance! published in a leaked memo,TRUE
6143,senior official faces fresh questions after report,senior official faces fresh questions after report! posted on home,TRUE
2962,"Breaking: finance executive under investigation, sources say","Breaking: finance executive under investigation, sources say! revealed in internal documents",TRUE
9417,"Breaking: campaign advisor under investigation, sources say","Breaking: campaign advisor under investigation, sources say! questioned during an interview",FALSE
2057,Whistleblower claims expose tech CEO,Whistleblower claims expose tech CEO! highlighted in a new audit,FALSE
5703,Whistleblower claims expose senior official,Whistleblower claims expose senior official! published in a leaked memo,TRUE
8128,Crowd reacts as university dean makes surprise appearance,Crowd reacts as university dean makes surprise appearance! reported by an anonymous source,FALSE
1931,nonprofit leader linked to controversial documents,nonprofit leader linked to controversial documents! flagged by investigators,TRUE
7677,tech CEO denies allegations in public statement,tech CEO denies allegations in public statement! shared on social media,TRUE
4490,Crowd reacts as local mayor makes surprise appearance,Crowd reacts as local mayor makes surprise appearance! reported by an anonymous source,FALSE
3431,local mayor scandal shakes community,local mayor scandal shakes community! reported by an anonymous source,FALSE
9736,Police increase probe into local mayor activities,Police increase probe into local mayor activities! highlighted in a new audit,FALSE
6123,Whistleblower claims expose nonprofit leader,Whistleblower claims expose nonprofit leader! highlighted in a new audit,FALSE
5354,Crowd reacts as famous actor makes surprise appearance,Crowd reacts as famous actor makes surprise appearance! reported by an anonymous source,TRUE
7287,state representative denies allegations in public statement,state representative denies allegations in public statement! shared on social media,TRUE
6131,city council member linked to controversial documents,city council member linked to controversial documents! flagged by investigators,FALSE
2443,"Breaking: tech CEO under investigation, sources say","Breaking: tech CEO under investigation, sources say! revealed in internal documents",FALSE
7715,campaign advisor denies allegations in public statement,campaign advisor denies allegations in public statement! highlighted in a new audit,TRUE
9716,senior official linked to controversial documents,senior official linked to controversial documents! caught on camera,TRUE
8693,campaign advisor scandal shakes community,campaign advisor scandal shakes community! highlighted in a new audit,FALSE
5911,local mayor faces fresh questions after report,local mayor faces fresh questions after report! shared on social media,FALSE
3900,senior official linked to controversial documents,senior official linked to controversial documents! flagged by investigators,FALSE
6896,"Breaking: state representative under investigation, sources say","Breaking: state representative under investigation, sources say! discussed in closed-door meeting",FALSE
2954,Exclusive: insiders reveal details about state representative,Exclusive: insiders reveal details about state representative! caught on camera,TRUE
1656,Whistleblower claims expose university dean,Whistleblower claims expose university dean! reported by an anonymous source,TRUE
9019,"Breaking: campaign advisor under investigation, sources say","Breaking: campaign advisor under investigation, sources say! highlighted in a new audit",FALSE
5945,"Breaking: city council member under investigation, sources say","Breaking: city council member under investigation, sources say! questioned during an interview",TRUE
9384,university dean faces fresh questions after report,university dean faces fresh questions after report! posted on home,FALSE
8846,senior official scandal shakes community,senior official scandal shakes community! shared on social media,FALSE
8263,state representative scandal shakes community,state representative scandal shakes community! reported by an anonymous source,FALSE
9141,famous actor scandal shakes community,famous actor scandal shakes community! questioned during an interview,TRUE
2200,nonprofit leader denies allegations in public statement,nonprofit leader denies allegations in public statement! reported by an anonymous source,TRUE
3258,New evidence surfaces in state representative case,New evidence surfaces in state representative case! flagged by investigators,TRUE
5792,"Breaking: tech CEO under investigation, sources say","Breaking: tech CEO under investigation, sources say! questioned during an interview",FALSE
2044,tech CEO faces fresh questions after report,tech CEO faces fresh questions after report! highlighted in a new audit,TRUE
7929,Police increase probe into senior official activities,Police increase probe into senior official activities! reported by an anonymous source,TRUE
5085,New evidence surfaces in nonprofit leader case,New evidence surfaces in nonprofit leader case! highlighted in a new audit,TRUE
1058,famous actor faces fresh questions after report,famous actor faces fresh questions after report! highlighted in a new audit,TRUE
8553,New evidence surfaces in tech CEO case,New evidence surfaces in tech CEO case! shared on social media,FALSE
4213,New evidence surfaces in university dean case,New evidence surfaces in university dean case! caught on camera,FALSE
6292,city council member denies allegations in public statement,city council member denies allegations in public statement! highlighted in a new audit,TRUE
7273,"Breaking: nonprofit leader under investigation, sources say","Breaking: nonprofit leader under investigation, sources say! discussed in closed-door meeting",TRUE
7546,"Breaking: local mayor under investigation, sources say","Breaking: local mayor under investigation, sources say! published in a leaked memo",TRUE
8752,Whistleblower claims expose senior official,Whistleblower claims expose senior official! discussed in closed-door meeting,FALSE
5952,tech CEO scandal shakes community,tech CEO scandal shakes community! highlighted in a new audit,FALSE
3883,Crowd reacts as city council member makes surprise appearance,Crowd reacts as city council member makes surprise appearance! published in a leaked memo,TRUE
4251,"Breaking: senior official under investigation, sources say","Breaking: senior official under investigation, sources say! revealed in internal documents",FALSE
8249,city council member denies allegations in public statement,city council member denies allegations in public statement! shared on social media,TRUE
8759,university dean linked to controversial documents,university dean linked to controversial documents! published in a leaked memo,FALSE
1239,New evidence surfaces in senior official case,New evidence surfaces in senior official case! posted on home,FALSE
6011,city council member linked to controversial documents,city council member linked to controversial documents! caught on camera,FALSE
5849,tech CEO linked to controversial documents,tech CEO linked to controversial documents! flagged by investigators,FALSE
3646,Whistleblower claims expose campaign advisor,Whistleblower claims expose campaign advisor! caught on camera,FALSE
5864,"Breaking: campaign advisor under investigation, sources say","Breaking: campaign advisor under investigation, sources say! discussed in closed-door meeting",TRUE
5489,nonprofit leader scandal shakes community,nonprofit leader scandal shakes community! revealed in internal documents,TRUE
2497,Police increase probe into university dean activities,Police increase probe into university dean activities! shared on social media,TRUE
9669,Crowd reacts as senior official makes surprise appearance,Crowd reacts as senior official makes surprise appearance! posted on home,FALSE
5395,famous actor linked to controversial documents,famous actor linked to controversial documents! revealed in internal documents,TRUE
7980,famous actor faces fresh questions after report,famous actor faces fresh questions after report! discussed in closed-door meeting,FALSE
4119,"Breaking: nonprofit leader under investigation, sources say","Breaking: nonprofit leader under investigation, sources say! posted on home",FALSE
9388,city council member linked to controversial documents,city council member linked to controversial documents! revealed in internal documents,TRUE
4110,Exclusive: insiders reveal details about tech CEO,Exclusive: insiders reveal details about tech CEO! caught on camera,TRUE
7640,city council member linked to controversial documents,city council member linked to controversial documents! highlighted in a new audit,FALSE
2619,campaign advisor linked to controversial documents,campaign advisor linked to controversial documents! published in a leaked memo,TRUE
8738,state representative faces fresh questions after report,state representative faces fresh questions after report! caught on camera,TRUE
1209,campaign advisor linked to controversial documents,campaign advisor linked to controversial documents! questioned during an interview,TRUE
4020,Whistleblower claims expose finance executive,Whistleblower claims expose finance executive! reported by an anonymous source,TRUE
1928,senior official scandal shakes community,senior official scandal shakes community! highlighted in a new audit,TRUE
7840,tech CEO denies allegations in public statement,tech CEO denies allegations in public statement! reported by an anonymous source,FALSE
4021,"Breaking: senior official under investigation, sources say","Breaking: senior official under investigation, sources say! reported by an anonymous source",TRUE
2769,famous actor scandal shakes community,famous actor scandal shakes community! discussed in closed-door meeting,FALSE
